1-t,2-t,label
-67.339325,-26.259542,late_19th-century_style
-78.642975,-54.03099,18th-century_style
-78.62622,-54.018562,18th-century_style
-62.62039,-63.20946,late_19th-century_style
-85.758194,-62.49646,18th-century_style
-58.187496,-70.04398,early_19th-century_style
-83.4066,-63.32714,18th-century_style
-68.797775,-61.718166,late_19th-century_style
-53.72221,-35.90453,late_19th-century_style
-68.797775,-61.718166,late_19th-century_style
-54.628212,-51.904877,late_19th-century_style
-85.8673,-60.833878,18th-century_style
-80.74134,-60.100826,18th-century_style
-54.44374,-62.12874,contemporary
-67.74613,-84.32297,early_19th-century_style
-66.31242,-67.01505,late_19th-century_style
-66.465904,-77.73023,early_19th-century_style
-67.819466,-84.2266,18th-century_style
-76.02398,-50.21313,18th-century_style
-75.63022,-60.404232,late_19th-century_style
-67.898026,-84.09039,revival
-75.79528,-60.329147,18th-century_style
-46.94305,-52.95512,late_19th-century_style
-54.96646,-9.226704,late_19th-century_style
-82.640305,-48.63003,18th-century_style
-94.326744,-34.21029,18th-century_style
-52.4434,-78.30761,late_19th-century_style
-43.34047,-22.91541,early_19th-century_style
-78.20888,-56.57186,18th-century_style
-100.38564,-30.32944,revival
-65.31492,-50.2337,late_19th-century_style
-100.399254,-30.310482,revival
-102.47305,-30.62646,revival
-81.57644,-59.680702,18th-century_style
-68.41673,-31.17337,late_19th-century_style
-84.769356,-61.25987,18th-century_style
-81.86367,-60.802452,18th-century_style
-66.26985,-68.3151,late_19th-century_style
-63.7065,-43.996834,late_19th-century_style
-44.23065,-53.03968,late_19th-century_style
-71.77165,-60.61137,18th-century_style
-46.99976,-18.479683,contemporary
-58.543854,-84.52659,early_19th-century_style
-60.789227,-49.92007,late_19th-century_style
-95.823166,-36.34467,early_19th-century_style
-71.67133,-36.515358,late_19th-century_style
-59.18112,-69.75118,interwar
-61.65533,-52.283012,late_19th-century_style
-93.26244,-32.943653,late_19th-century_style
-61.440468,-71.12702,early_19th-century_style
-69.09931,-57.834965,early_19th-century_style
-85.35428,-51.13884,18th-century_style
-80.614746,-40.424,late_19th-century_style
-61.82438,-40.991463,late_19th-century_style
-63.604004,-35.38891,late_19th-century_style
-63.604004,-35.38891,late_19th-century_style
-75.90308,-45.870365,late_19th-century_style
-37.83846,-50.968536,late_19th-century_style
-47.527958,-5.0677814,late_19th-century_style
-62.445564,-75.008385,early_19th-century_style
-65.502594,-79.41381,contemporary
-40.9087,-37.201965,contemporary
-22.832352,-22.560053,contemporary
-85.56939,-56.758583,18th-century_style
-56.76019,-33.965366,late_19th-century_style
-63.44918,-72.15817,early_19th-century_style
-67.92433,-83.96999,early_19th-century_style
-86.83508,-68.59866,contemporary
-64.473114,-34.768963,late_19th-century_style
-86.83508,-68.59866,contemporary
-101.12757,-32.32169,late_19th-century_style
-86.83508,-68.59866,contemporary
-63.44918,-72.15817,early_19th-century_style
-68.227,-60.705338,early_19th-century_style
-80.74134,-60.100826,18th-century_style
